channelId,channelTitle,createdAt,totViews,subscribers,videoCount,topicsIds,topicCat
UCCyMRpic8eTJmtgs3_sBRtA,Danny's Filmhub,2017-10-13T04:16:24Z,54857019,27800,157,"/m/0f2f9,/m/02jjt,/m/02vxn","https://en.wikipedia.org/wiki/Television_program,https://en.wikipedia.org/wiki/Entertainment,https://en.wikipedia.org/wiki/Film"
UC4PQqjGczpgmqbpicKjkwvw,Druski,2020-03-17T08:29:24.30336Z,446231365,2080000,596,"/m/02vxn,/m/02jjt,/m/0glt670","https://en.wikipedia.org/wiki/Film,https://en.wikipedia.org/wiki/Entertainment,https://en.wikipedia.org/wiki/Hip_hop_music"
UCKy1dAqELo0zrOtPkf0eTMw,IGN,2006-09-19T03:13:01Z,18279611035,18500000,165834,"/m/0403l3g,/m/02ntfj,/m/025zzc,/m/0bzvm2,/m/02jjt","https://en.wikipedia.org/wiki/Role-playing_video_game,https://en.wikipedia.org/wiki/Action-adventure_game,https://en.wikipedia.org/wiki/Action_game,https://en.wikipedia.org/wiki/Video_game_culture,https://en.wikipedia.org/wiki/Entertainment"
UCZft8Ol-dMtguwam7bWItnw,BrodyAnimates,2013-11-24T03:29:31Z,264219278,1560000,81,"/m/02jjt,/m/09kqc,/m/0bzvm2,/m/02vxn,/m/019_rr","https://en.wikipedia.org/wiki/Entertainment,https://en.wikipedia.org/wiki/Humour,https://en.wikipedia.org/wiki/Video_game_culture,https://en.wikipedia.org/wiki/Film,https://en.wikipedia.org/wiki/Lifestyle_(sociology)"
UCIwth2uQQRZzPKSflSLgk0g,VET Tv,2016-10-10T01:20:50Z,940308854,1020000,1600,"/m/0f2f9,/m/01h6rj,/m/02jjt,/m/09kqc,/m/02vxn","https://en.wikipedia.org/wiki/Television_program,https://en.wikipedia.org/wiki/Military,https://en.wikipedia.org/wiki/Entertainment,https://en.wikipedia.org/wiki/Humour,https://en.wikipedia.org/wiki/Film"
UCqpNrZf35zrOiK4vzI1v6hw,DankScole,2015-08-23T23:06:16Z,1720532723,4850000,495,"/m/02vxn,/m/02jjt","https://en.wikipedia.org/wiki/Film,https://en.wikipedia.org/wiki/Entertainment"
UCBuXWxpjIyvm6MSM5hXMxQA,Orange Movies,2024-03-23T10:32:24.263774Z,52784387,39700,319,"/m/02vxn,/m/02jjt","https://en.wikipedia.org/wiki/Film,https://en.wikipedia.org/wiki/Entertainment"
UCojWSp08LqMhqN4-Gn79K4g,BigMaxiBoxi,2024-09-22T11:13:58.440508Z,15479367,13400,36,"/m/02jjt,/m/02vxn,/m/019_rr","https://en.wikipedia.org/wiki/Entertainment,https://en.wikipedia.org/wiki/Film,https://en.wikipedia.org/wiki/Lifestyle_(sociology)"
UCiHkQyzoaCTWFc4Acmpknlg,P2 9MXS,2023-10-12T19:03:52.518088Z,83423500,34400,84,"/m/02vxn,/m/02jjt","https://en.wikipedia.org/wiki/Film,https://en.wikipedia.org/wiki/Entertainment"
UCGuKDsKoK7aBbYEvXNKp2_g,Caroline Restatement,2024-06-14T02:25:01.534289Z,64176926,50700,219,"/m/0f2f9,/m/02jjt,/m/02vxn","https://en.wikipedia.org/wiki/Television_program,https://en.wikipedia.org/wiki/Entertainment,https://en.wikipedia.org/wiki/Film"
UCbFdKdoZeWd5mh9soNX9I4w,Binge Viral Clips,2021-02-18T20:27:00.385924Z,177112847,179000,56,"/m/02vxn,/m/02jjt","https://en.wikipedia.org/wiki/Film,https://en.wikipedia.org/wiki/Entertainment"
UCMEEC8zlPyCbwmtCnlOl1_Q,JR JAYY,2015-07-10T20:29:25Z,81610548,236000,186,"/m/02vxn,/m/09kqc,/m/02jjt","https://en.wikipedia.org/wiki/Film,https://en.wikipedia.org/wiki/Humour,https://en.wikipedia.org/wiki/Entertainment"
UCng0vTdvLr3u1wuoyfLqaqg,SIMPLE.C10,2013-03-30T03:05:32Z,12260741,19100,192,"/m/07yv9,/m/019_rr","https://en.wikipedia.org/wiki/Vehicle,https://en.wikipedia.org/wiki/Lifestyle_(sociology)"
UCshvWbtwJ5z8DfRArsxXYyg,San Movies ,2024-06-27T06:05:55.127283Z,38207335,38300,266,"/m/02vxn,/m/02jjt,/m/0f2f9","https://en.wikipedia.org/wiki/Film,https://en.wikipedia.org/wiki/Entertainment,https://en.wikipedia.org/wiki/Television_program"
UCylSSdB9eIs8w-cRtHZMREA,Miguel Caroline ,2024-05-10T13:23:11.992389Z,309006569,242000,324,"/m/02vxn,/m/02jjt","https://en.wikipedia.org/wiki/Film,https://en.wikipedia.org/wiki/Entertainment"
UC2ZUcriT2bWaHqhgLIeLLIQ,Promo24-7,2021-06-17T01:35:22.650779Z,15937280,28800,68,"/m/09kqc,/m/02jjt","https://en.wikipedia.org/wiki/Humour,https://en.wikipedia.org/wiki/Entertainment"
UCtjitZkKk537mAP0v6z9Hng,ScreenGems,2024-03-06T07:37:46.608081Z,209885953,180000,382,"/m/02jjt,/m/02vxn","https://en.wikipedia.org/wiki/Entertainment,https://en.wikipedia.org/wiki/Film"
UCw7UAa-27Ne1ps9JUCynZLQ,Gabriel Classic,2024-08-13T02:01:16.737209Z,172053728,123000,174,"/m/02jjt,/m/02vxn,/m/0f2f9","https://en.wikipedia.org/wiki/Entertainment,https://en.wikipedia.org/wiki/Film,https://en.wikipedia.org/wiki/Television_program"
UCMh3v4KOrtoDKziO9d2qAHg,Agirlandadoodle,2023-03-02T02:26:44.978406Z,1650354689,2300000,266,"/m/019_rr,/m/068hy,/m/02jjt","https://en.wikipedia.org/wiki/Lifestyle_(sociology),https://en.wikipedia.org/wiki/Pet,https://en.wikipedia.org/wiki/Entertainment"
UCvUcTZ8x4xxE_hM-quyYu6w,Let's Watch,2024-04-10T08:37:00.406456Z,166803074,128000,246,"/m/02vxn,/m/02jjt","https://en.wikipedia.org/wiki/Film,https://en.wikipedia.org/wiki/Entertainment"
UCkCfG7i4uTFVp2-mgJmSb0w,LEGENDARY,2024-05-15T09:47:45.104254Z,25797856,26700,91,"/m/0f2f9,/m/02jjt,/m/02vxn","https://en.wikipedia.org/wiki/Television_program,https://en.wikipedia.org/wiki/Entertainment,https://en.wikipedia.org/wiki/Film"
UCG7BqcsAYc9C75iHMc5iPTA,Chistes josΓ© Joao,2020-02-22T00:40:23.583814Z,99971297,312000,382,"/m/02jjt,/m/09kqc,/m/02vxn","https://en.wikipedia.org/wiki/Entertainment,https://en.wikipedia.org/wiki/Humour,https://en.wikipedia.org/wiki/Film"
UCxB-FLDInYpclh7C7AT10aw,Elfo House,2006-04-10T20:04:54Z,76169687,48200,99,"/m/0f2f9,/m/019_rr,/m/02jjt,/m/02vxn","https://en.wikipedia.org/wiki/Television_program,https://en.wikipedia.org/wiki/Lifestyle_(sociology),https://en.wikipedia.org/wiki/Entertainment,https://en.wikipedia.org/wiki/Film"
UCIlqd-X929vWZIkMoG3H8Sw,Martin Clips,2024-08-05T10:05:58.086588Z,73058185,77200,155,"/m/02jjt,/m/02vxn","https://en.wikipedia.org/wiki/Entertainment,https://en.wikipedia.org/wiki/Film"
UCLBh_2tt_hFdiFekmlI6U2g,Brianna Movies,2024-06-14T14:17:49.720022Z,153377929,98400,350,"/m/02jjt,/m/02vxn","https://en.wikipedia.org/wiki/Entertainment,https://en.wikipedia.org/wiki/Film"
UCLTL2BJ2h-FkiKfOmFBrYFw,Thomas Movies,2024-07-17T02:51:36.608734Z,269264099,138000,220,"/m/02jjt,/m/02vxn,/m/0f2f9","https://en.wikipedia.org/wiki/Entertainment,https://en.wikipedia.org/wiki/Film,https://en.wikipedia.org/wiki/Television_program"
UC59Ied2j88dZUw7PzJa2-YA,Hew Moran,2017-03-08T21:22:15Z,1910210473,6780000,415,"/m/02vxn,/m/02jjt","https://en.wikipedia.org/wiki/Film,https://en.wikipedia.org/wiki/Entertainment"
UCpMb_pfabjR1BuUMebtM4KQ,DaPlug,2023-06-01T13:22:21.397408Z,421247462,378000,518,"/m/02vxn,/m/02jjt","https://en.wikipedia.org/wiki/Film,https://en.wikipedia.org/wiki/Entertainment"
UCt0PorvEjHk91XbiTg5bH0w,BreakingBald,2024-07-31T09:02:55.66841Z,86856352,57000,150,"/m/02vxn,/m/02jjt","https://en.wikipedia.org/wiki/Film,https://en.wikipedia.org/wiki/Entertainment"
UC0b0EiEPwRewGAikHpjYTtA,Paul Jordin,2024-09-10T14:02:27.18969Z,49598562,37900,82,"/m/02jjt,/m/02vxn,/m/0f2f9","https://en.wikipedia.org/wiki/Entertainment,https://en.wikipedia.org/wiki/Film,https://en.wikipedia.org/wiki/Television_program"
UCu2X0reOWT4fYPX3voJ_bmA,Jane Williamson,2016-06-23T01:48:26Z,1959328109,3550000,188,/m/019_rr,https://en.wikipedia.org/wiki/Lifestyle_(sociology)
UCNFT_eq_QCApMEwCACHto9Q,Speed McQueen ,2018-09-16T14:21:05Z,7002062868,6350000,3553,"/m/02vxn,/m/02jjt","https://en.wikipedia.org/wiki/Film,https://en.wikipedia.org/wiki/Entertainment"
UCPUBGZvy2t1V5MthV7pjBAA,itsQCP,2017-06-27T11:11:35Z,4457145652,7410000,566,"/m/02wbm,/m/019_rr","https://en.wikipedia.org/wiki/Food,https://en.wikipedia.org/wiki/Lifestyle_(sociology)"
UCiER8p540j2SosO7OX7E0VA,Legends of Avantris,2018-05-18T05:36:17Z,876392732,1600000,933,"/m/02vxn,/m/09kqc,/m/02jjt,/m/019_rr,/m/0bzvm2","https://en.wikipedia.org/wiki/Film,https://en.wikipedia.org/wiki/Humour,https://en.wikipedia.org/wiki/Entertainment,https://en.wikipedia.org/wiki/Lifestyle_(sociology),https://en.wikipedia.org/wiki/Video_game_culture"
UCaVFKuFQ4ApfwcBr-12sL0A,MissonMovieMoments,2014-03-31T21:10:31Z,158328251,150000,331,"/m/02vxn,/m/02jjt","https://en.wikipedia.org/wiki/Film,https://en.wikipedia.org/wiki/Entertainment"
UCXbYlU08sOTBktOtjVsvR6w,ToRung,2017-10-18T02:31:36Z,20867057512,33900000,414,"/m/02vxn,/m/02jjt,/m/09kqc","https://en.wikipedia.org/wiki/Film,https://en.wikipedia.org/wiki/Entertainment,https://en.wikipedia.org/wiki/Humour"
UCjdvPP6bIMctgtP4fa7XXvA,Outstanding Screenplays,2019-12-31T12:54:46.624165Z,2021131416,1220000,1566,"/m/02jjt,/m/02vxn,/m/0f2f9","https://en.wikipedia.org/wiki/Entertainment,https://en.wikipedia.org/wiki/Film,https://en.wikipedia.org/wiki/Television_program"
UCsAMAOF4AMxFPAdBeiX7h6Q,Movies Universe,2024-04-16T03:56:04.636174Z,106961767,109000,399,"/m/02vxn,/m/02jjt","https://en.wikipedia.org/wiki/Film,https://en.wikipedia.org/wiki/Entertainment"
UCx5YHlRtMvg2NgQaQcMUeDQ,Brown DM,2024-09-11T09:23:59.933774Z,31501076,16000,85,"/m/02jjt,/m/02vxn","https://en.wikipedia.org/wiki/Entertainment,https://en.wikipedia.org/wiki/Film"
UCCuZ0r9pDMI8DwhtRV1fNhg,Danno Cal Drawings,2018-02-25T23:02:07Z,2507818684,3600000,792,"/m/02vxn,/m/0bzvm2,/m/02jjt","https://en.wikipedia.org/wiki/Film,https://en.wikipedia.org/wiki/Video_game_culture,https://en.wikipedia.org/wiki/Entertainment"
UCq8e-sbPDisoWAWgv1wdtUA,TeriD,2023-06-25T13:16:53.75842Z,163616860,208000,178,"/m/02jjt,/m/09kqc,/m/02vxn","https://en.wikipedia.org/wiki/Entertainment,https://en.wikipedia.org/wiki/Humour,https://en.wikipedia.org/wiki/Film"
UCoJfvP-9f1Ztq_zb-i1TLzA,Clarity Clips,2023-03-22T00:18:57.894161Z,2064309288,1990000,622,"/m/02vxn,/m/02jjt","https://en.wikipedia.org/wiki/Film,https://en.wikipedia.org/wiki/Entertainment"
UC8rXxwwIYSk4lfPD_KJmK-A,Daddy Cartoons,2024-08-29T16:31:18.753548Z,72944194,60300,82,"/m/02jjt,/m/02vxn","https://en.wikipedia.org/wiki/Entertainment,https://en.wikipedia.org/wiki/Film"
UCLSW8aX9Hhkv9-LpBVRhFbw,The Living Artcade,2023-11-16T23:45:38.879002Z,121638884,739000,15,"/m/019_rr,/m/03glg,/m/02vxn,/m/02jjt","https://en.wikipedia.org/wiki/Lifestyle_(sociology),https://en.wikipedia.org/wiki/Hobby,https://en.wikipedia.org/wiki/Film,https://en.wikipedia.org/wiki/Entertainment"
UCqcOzx6P_BuF4oyvZsaPunw,ariki Anime,2022-10-25T20:09:36.445847Z,990249235,1010000,333,"/m/02jjt,/m/02vxn,/m/019_rr","https://en.wikipedia.org/wiki/Entertainment,https://en.wikipedia.org/wiki/Film,https://en.wikipedia.org/wiki/Lifestyle_(sociology)"
UCr69YQf6M8yeiYEeGjZ711Q,Theatre of the Unaligned,2023-10-02T02:29:48.665259Z,27889067,62200,186,"/m/02vxn,/m/02jjt","https://en.wikipedia.org/wiki/Film,https://en.wikipedia.org/wiki/Entertainment"
UC1EQXPSyMhU3GVfrsGg9-JA,Phil Valley,2017-11-30T21:43:19Z,15085040,23700,260,"/m/0glt670,/m/02vxn,/m/04rlf,/m/02jjt","https://en.wikipedia.org/wiki/Hip_hop_music,https://en.wikipedia.org/wiki/Film,https://en.wikipedia.org/wiki/Music,https://en.wikipedia.org/wiki/Entertainment"
UCHKhGknxUStTRKLXBoXSbNg,Poppeace,2022-02-12T09:19:37.276361Z,376966337,310000,352,"/m/02vxn,/m/02jjt,/m/0f2f9","https://en.wikipedia.org/wiki/Film,https://en.wikipedia.org/wiki/Entertainment,https://en.wikipedia.org/wiki/Television_program"
UCdUl_bahs2CptEdW0us2TRA,Mappelz,2017-01-20T02:10:48Z,3884106103,3660000,1525,"/m/09kqc,/m/02jjt,/m/02vxn","https://en.wikipedia.org/wiki/Humour,https://en.wikipedia.org/wiki/Entertainment,https://en.wikipedia.org/wiki/Film"
UCd4R6Gq-yaa1-J1XfYcE-hQ,Spider Movie,2024-07-19T11:17:09.247772Z,70615699,42100,169,"/m/02jjt,/m/02vxn","https://en.wikipedia.org/wiki/Entertainment,https://en.wikipedia.org/wiki/Film"
UCzu8CMR8o5vF8yMLSZSkXFg,FlexxFlixx,2024-05-28T22:47:08.811674Z,549323663,362000,245,"/m/02jjt,/m/02vxn","https://en.wikipedia.org/wiki/Entertainment,https://en.wikipedia.org/wiki/Film"
UCoyVbUZN4mYeRhYGlWbKSkw,Simpsons Saga,2023-10-04T11:51:40.97409Z,22974564,25400,100,"/m/02jjt,/m/019_rr,/m/0f2f9,/m/02vxn","https://en.wikipedia.org/wiki/Entertainment,https://en.wikipedia.org/wiki/Lifestyle_(sociology),https://en.wikipedia.org/wiki/Television_program,https://en.wikipedia.org/wiki/Film"
UCjM-M-tIyKvu1TusOohiqTw,Simpsons Every Day,2024-07-28T11:33:45.252231Z,157158886,134000,157,"/m/02jjt,/m/02vxn,/m/019_rr","https://en.wikipedia.org/wiki/Entertainment,https://en.wikipedia.org/wiki/Film,https://en.wikipedia.org/wiki/Lifestyle_(sociology)"
UC0P9pKFhs9RtrnSoRAj2f_g,MOVIE TART,2024-09-01T23:51:56.370296Z,55125455,83000,85,"/m/02vxn,/m/02jjt,/m/019_rr","https://en.wikipedia.org/wiki/Film,https://en.wikipedia.org/wiki/Entertainment,https://en.wikipedia.org/wiki/Lifestyle_(sociology)"
UCJN5ATeKD3XBqc93znZtm4w,Encouraging Inspirational Words,2021-10-09T00:25:32.633795Z,365507385,295000,954,"/m/0f2f9,/m/09kqc,/m/02vxn,/m/02jjt","https://en.wikipedia.org/wiki/Television_program,https://en.wikipedia.org/wiki/Humour,https://en.wikipedia.org/wiki/Film,https://en.wikipedia.org/wiki/Entertainment"
UCchBatdUMZoMfJ3rIzgV84g,Viva La Dirt League,2011-08-21T08:29:04Z,4198077667,6730000,2319,"/m/02vxn,/m/02jjt","https://en.wikipedia.org/wiki/Film,https://en.wikipedia.org/wiki/Entertainment"
UCNwb4G1bW7PDMTWpA-s-sCA,GCR Designs,2016-04-28T20:36:37Z,205685915,157000,228,"/m/0bzvm2,/m/02ntfj,/m/02vxn,/m/02jjt,/m/025zzc","https://en.wikipedia.org/wiki/Video_game_culture,https://en.wikipedia.org/wiki/Action-adventure_game,https://en.wikipedia.org/wiki/Film,https://en.wikipedia.org/wiki/Entertainment,https://en.wikipedia.org/wiki/Action_game"
UCjbeif8Qkf4sVZG0QgY1qHg,Liam Lee,2024-08-21T03:01:18.070295Z,24632233,43000,140,"/m/02vxn,/m/02jjt","https://en.wikipedia.org/wiki/Film,https://en.wikipedia.org/wiki/Entertainment"
UCLVBmIrtn7DyTEDeVU3Id5w,Paul Movies House,2024-04-13T03:32:37.454507Z,116906857,59200,405,"/m/02jjt,/m/02vxn,/m/09kqc","https://en.wikipedia.org/wiki/Entertainment,https://en.wikipedia.org/wiki/Film,https://en.wikipedia.org/wiki/Humour"
UC2GhJfBa2P3ccu8bu1zRrdw,Kailah,2010-12-20T02:40:16Z,22949069,37100,87,"/m/02vxn,/m/02jjt,/m/0f2f9","https://en.wikipedia.org/wiki/Film,https://en.wikipedia.org/wiki/Entertainment,https://en.wikipedia.org/wiki/Television_program"
UCRFSF9WS_g0wqm32kjJ-jNw,jacobweeby,2016-04-13T13:57:08Z,876135898,1480000,638,"/m/02ntfj,/m/025zzc,/m/0bzvm2,/m/09kqc,/m/02jjt,/m/0403l3g","https://en.wikipedia.org/wiki/Action-adventure_game,https://en.wikipedia.org/wiki/Action_game,https://en.wikipedia.org/wiki/Video_game_culture,https://en.wikipedia.org/wiki/Humour,https://en.wikipedia.org/wiki/Entertainment,https://en.wikipedia.org/wiki/Role-playing_video_game"
UCQHGL7mNJ1f93WJ8U1wZG-A,Aliska Art ,2021-01-20T23:13:19.621997Z,80187372,234000,483,"/m/02jjt,/m/02vxn","https://en.wikipedia.org/wiki/Entertainment,https://en.wikipedia.org/wiki/Film"
UCObEO7ZvOPP1vbZMW5FkcxQ,Daddy Cooper,2023-09-15T15:00:20.847976Z,79945962,204000,132,"/m/0f2f9,/m/02vxn,/m/02jjt","https://en.wikipedia.org/wiki/Television_program,https://en.wikipedia.org/wiki/Film,https://en.wikipedia.org/wiki/Entertainment"
UConDa0_TOYfTDR3SrMTkjfg,Kingsley King,2016-09-25T14:53:30Z,1276705348,1280000,4174,"/m/02vxn,/m/02jjt,/m/0f2f9","https://en.wikipedia.org/wiki/Film,https://en.wikipedia.org/wiki/Entertainment,https://en.wikipedia.org/wiki/Television_program"
UCGq6eTi9tSwOoSR3I7iEE5Q,David Lucas,2017-10-24T09:04:44Z,98261128,405000,699,"/m/02vxn,/m/02jjt,/m/09kqc","https://en.wikipedia.org/wiki/Film,https://en.wikipedia.org/wiki/Entertainment,https://en.wikipedia.org/wiki/Humour"
UClvGDD_RWs6yfzK8A_6OCMA,Cinematic Vibes,2024-07-22T15:22:41.279273Z,149750195,102000,107,"/m/02vxn,/m/02jjt,/m/0f2f9","https://en.wikipedia.org/wiki/Film,https://en.wikipedia.org/wiki/Entertainment,https://en.wikipedia.org/wiki/Television_program"
